C3D_Name,Column_1_Output_Name,Column_2_Output_Name,Column_3_Output_Name
LShldrThorAngVelDeg,LShldrThorFlexExtAngVelDeg,LShldrThorAddAbdAngVelDeg,LShldrThorIntExtRotAngVelDeg
LShoulderAnatomyYXY,LShldrAnatPlaneOfElev,LShldrAnatElev,LShldrAnatIntExtRot
LShoulderAngle,LShldrFlexExt,LShldrAddAbd,LShldrIntExtRot
LShoulderMoments,LShldrFlexExtMom,LShldrAddAbdMom,LShldrIntExtRotMom
LShoulderPosition,LShoulderPositionX,LShoulderPositionY,LShoulderPositionZ
LShoulderSWYXY,LShldrShldrWingPlaneOfElev,LShldrShldrWingElev,LShldrShldrWingIntExtRot
LShoulderThoraxYXY,LShldrThorPlaneOfElev,LShldrThorElev,LShldrThorIntExtRot
LShWingAngle,LShldrWingFlexExt,LShldrWingElevDep,LShldrWingProtRetr
LSJC,LSJCX,LSJCY,LSJCZ
LStickAngle,LStickFlexExt,LStickUlnRadDev,LStickSupPro
LThighAngle,LThighFlexExt,LThighLatFlex,LThighRot
LThoraxtoThighAngle,LThoraxtoThighFlexExt,LThoraxtoThighAddAbd,LThoraxtoThighIntExtRot
LTorsoGlobAngAcc,LTorsoGlobFlexExtAngAcc,LTorsoGlobLatFlexAngAcc,LTorsoGlobRotAngAcc
LTorsoGlobAngAccDeg,LTorsoGlobFlexExtAngAccDeg,LTorsoGlobLatFlexAngAccDeg,LTorsoGlobRotAngAccDeg
LTorsoGlobAngVel,LTorsoGlobFlexExtAngVel,LTorsoGlobLatFlexAngVel,LTorsoGlobRotAngVel
LTorsoGlobAngVelDeg,LTorsoGlobFlexExtAngVelDeg,LTorsoGlobLatFlexAngVelDeg,LTorsoGlobRotAngVelDeg
LTorsoPelAngAcc,LTorsoPelFlexExtAngAcc,LTorsoPelLatFlexAngAcc,LTorsoPelRotAngAcc
LTorsoPelAngAccDeg,LTorsoPelFlexExtAngAccDeg,LTorsoPelLatFlexAngAccDeg,LTorsoPelRotAngAccDeg
LTorsoPelAngVel,LTorsoPelFlexExtAngVel,LTorsoPelLatFlexAngVel,LTorsoPelRotAngVel
LTorsoPelAngVelDeg,LTorsoPelFlexExtAngVelDeg,LTorsoPelLatFlexAngVelDeg,LTorsoPelRotAngVelDeg
LumbarAngAcc,LumbarFlexExtAngAcc,LumbarAddAbdAngAcc,LumbarIntExtRotAngAcc
LumbarAngAccDeg,LumbarFlexExtAngAccDeg,LumbarAddAbdAngAccDeg,LumbarIntExtRotAngAccDeg
LumbarAngVel,LumbarFlexExtAngVel,LumbarAddAbdAngVel,LumbaIntExtRotAngVel
LumbarAngVelDeg,LumbarFlexExtAngVelDeg,LumbarAddAbdAngVelDeg,LumbarIntExtRotAngVelDeg
LumbarRegionAngle,LumbarRegionFlexExt,LumbarRegionLatFlex,LumbarRegionRot
LumbRIGAngAcc,LumbRIGFlexExtAngAcc,LumbRIGAddAbdAngAcc,LumbRIGIntExtRotAngAcc
LumbRIGAngAccDeg,LumbRIGFlexExtAngAccDeg,LumbRIGAddAbdAngAccDeg,LumbRIGIntExtRotAngAccDeg
LumbRIGAngVel,LumbRIGFlexExtAngVel,LumbRIGAddAbdAngVel,LumbRIGIntExtRotAngVel
LumbRIGAngVelDeg,LumbRIGFlexExtAngVelDeg,LumbRIGAddAbdAngVelDeg,LumbRIGIntExtRotAngVelDeg
LumbRIGtoLumAngAcc,LumbRIGtoLumFlexExtAngAcc,LumbRIGtoLumAddAbdAngAcc,LumbRIGtoLumIntExtRotAngAcc
LumbRIGtoLumAngAccDeg,LumbRIGtoLumFlexExtAngAccDeg,LumbRIGtoLumAddAbdAngAccDeg,LumbRIGtoLumIntExtRotAngAccDeg
